timestamp_utc,level,category,class_method,event,args,ret,details,raw
2025-10-13T08:24:53.035805Z,*,,Java.perform,info,,,start @2025-10-13T08:03:45.337Z,[*] Java.perform start @2025-10-13T08:03:45.337Z
2025-10-13T08:24:53.035981Z,*,,Hook,info,,,"org.telegram.tgnet.ConnectionsManager.native_sendRequest overloads = 1
    └─ native_sendRequest(int, long, int, int, int, boolean, int)","[*] Hook org.telegram.tgnet.ConnectionsManager.native_sendRequest overloads = 1
    └─ native_sendRequest(int, long, int, int, int, boolean, int)"
2025-10-13T08:24:53.035992Z,*,,Hook,info,,,"org.telegram.tgnet.ConnectionsManager.native_checkProxy overloads = 1
    └─ native_checkProxy(int, java.lang.String, int, java.lang.String, java.lang.String, java.lang.String, org.telegram.tgnet.RequestTimeDelegate)","[*] Hook org.telegram.tgnet.ConnectionsManager.native_checkProxy overloads = 1
    └─ native_checkProxy(int, java.lang.String, int, java.lang.String, java.lang.String, java.lang.String, org.telegram.tgnet.RequestTimeDelegate)"
2025-10-13T08:24:53.035999Z,*,,Hook,info,,,"org.telegram.tgnet.ConnectionsManager.native_getConnectionState overloads = 1
    └─ native_getConnectionState(int)","[*] Hook org.telegram.tgnet.ConnectionsManager.native_getConnectionState overloads = 1
    └─ native_getConnectionState(int)"
2025-10-13T08:24:53.036004Z,*,,Hook,info,,,"org.telegram.tgnet.ConnectionsManager.native_setProxySettings overloads = 1
    └─ native_setProxySettings(int, java.lang.String, int, java.lang.String, java.lang.String, java.lang.String)","[*] Hook org.telegram.tgnet.ConnectionsManager.native_setProxySettings overloads = 1
    └─ native_setProxySettings(int, java.lang.String, int, java.lang.String, java.lang.String, java.lang.String)"
2025-10-13T08:24:53.036009Z,*,,Hook,info,,,"org.telegram.tgnet.ConnectionsManager.native_init overloads = 1
    └─ native_init(int, int, int, int, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, long, boolean, boolean, boolean, int, int)","[*] Hook org.telegram.tgnet.ConnectionsManager.native_init overloads = 1
    └─ native_init(int, int, int, int, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, long, boolean, boolean, boolean, int, int)"
2025-10-13T08:24:53.036017Z,*,,Hook,info,,,"org.telegram.messenger.Utilities.aesIgeEncryption overloads = 2
    └─ aesIgeEncryption(java.nio.ByteBuffer, [B, [B, boolean, int, int)
    └─ aesIgeEncryption(java.nio.ByteBuffer, [B, [B, boolean, boolean, int, int)","[*] Hook org.telegram.messenger.Utilities.aesIgeEncryption overloads = 2
    └─ aesIgeEncryption(java.nio.ByteBuffer, [B, [B, boolean, int, int)
    └─ aesIgeEncryption(java.nio.ByteBuffer, [B, [B, boolean, boolean, int, int)"
2025-10-13T08:24:53.036023Z,*,,Hook,info,,,"org.telegram.messenger.Utilities.aesIgeEncryptionByteArray overloads = 2
    └─ aesIgeEncryptionByteArray([B, [B, [B, boolean, int, int)
    └─ aesIgeEncryptionByteArray([B, [B, [B, boolean, boolean, int, int)","[*] Hook org.telegram.messenger.Utilities.aesIgeEncryptionByteArray overloads = 2
    └─ aesIgeEncryptionByteArray([B, [B, [B, boolean, int, int)
    └─ aesIgeEncryptionByteArray([B, [B, [B, boolean, boolean, int, int)"
2025-10-13T08:24:53.036028Z,*,,Hook,info,,,"org.telegram.messenger.Utilities.aesCtrDecryption overloads = 1
    └─ aesCtrDecryption(java.nio.ByteBuffer, [B, [B, int, int)","[*] Hook org.telegram.messenger.Utilities.aesCtrDecryption overloads = 1
    └─ aesCtrDecryption(java.nio.ByteBuffer, [B, [B, int, int)"
2025-10-13T08:24:53.036033Z,*,,Hook,info,,,"org.telegram.messenger.Utilities.pbkdf2 overloads = 1
    └─ pbkdf2([B, [B, [B, int)","[*] Hook org.telegram.messenger.Utilities.pbkdf2 overloads = 1
    └─ pbkdf2([B, [B, [B, int)"
2025-10-13T08:24:53.036038Z,*,,Hook,info,,,"org.telegram.messenger.MediaController.startRecord overloads = 1
    └─ startRecord(java.lang.String, int)","[*] Hook org.telegram.messenger.MediaController.startRecord overloads = 1
    └─ startRecord(java.lang.String, int)"
